station_id,day_name,hour,avg_docks
105,5,9,35.21
105,5,10,34.75
105,5,11,34.7
105,5,12,34.89
105,5,13,35.0
105,5,14,34.85
105,5,15,35.0
105,5,16,34.0
105,5,17,33.0
105,5,18,35.0
105,5,20,34.0
105,5,22,35.5
105,6,0,35.2
105,6,1,35.54
105,6,2,35.67
105,6,3,35.55
105,6,4,35.39
105,6,5,35.24
105,6,6,35.25
105,6,7,35.25
105,6,8,35.25
105,6,9,35.25
105,6,10,35.52
105,6,11,35.43
105,6,12,35.14
105,6,13,35.0
105,6,14,29.83
105,6,15,32.5
105,6,16,35.0
105,6,17,35.0
105,6,18,35.67
105,6,19,34.43
105,6,20,34.43
105,6,21,34.83
105,6,22,33.73
105,6,23,33.83
106,0,0,37.93
106,0,1,38.92
106,0,2,38.16
106,0,3,38.0
106,0,5,33.75
106,0,6,34.38
106,0,7,33.0
106,0,8,33.67
106,0,9,37.26
106,0,10,33.86
106,0,11,27.35
106,0,12,24.0
106,0,13,26.44
106,0,14,26.0
106,0,15,26.62
106,0,16,27.4
106,0,17,27.9
106,0,18,28.22
106,0,19,29.7
106,0,20,26.56
106,0,21,26.26
106,0,22,25.84
106,0,23,26.37
106,1,0,26.9
106,1,1,25.67
106,1,2,26.5
106,1,3,26.14
106,1,4,34.0
106,1,5,31.5
106,1,6,26.58
106,1,7,29.0
106,1,8,32.8
106,1,9,35.15
106,1,10,32.41
106,1,11,30.96
106,1,12,25.17
106,1,13,26.5
106,1,14,24.47
106,1,15,19.17
106,1,16,19.21
106,1,17,17.62
106,1,18,17.0
106,1,19,18.92
106,1,20,20.2
106,1,21,19.29
106,1,22,20.75
106,1,23,20.93
106,2,0,22.55
106,2,1,21.56
106,2,2,22.73
106,2,3,23.5
106,2,4,20.33
106,2,5,19.0
106,2,6,22.6
106,2,7,22.67
106,2,8,27.0
106,2,9,30.5
106,2,10,31.11
106,2,11,26.88
106,2,12,23.79
106,2,13,25.12
106,2,14,25.83
106,2,15,26.46
106,2,16,25.96
106,2,17,25.96
106,2,18,26.58
106,2,19,28.28
106,2,20,29.67
106,2,21,30.69
106,2,22,31.0
106,2,23,31.56
106,3,0,29.0
106,3,1,34.14
106,3,2,39.0
106,3,3,26.6
106,3,4,23.5
106,3,5,25.25
106,3,6,25.62
106,3,7,26.6
106,3,8,30.33
106,3,9,33.19
106,3,10,34.75
106,3,11,33.42
106,3,12,35.0
106,3,13,36.23
106,3,14,36.33
106,3,15,35.62
106,3,16,35.92
106,3,17,35.85
106,3,18,34.69
106,3,19,33.25
106,3,20,38.86
106,3,21,39.5
106,3,22,38.71
106,3,23,37.0
106,4,0,35.27
106,4,1,35.5
106,4,2,35.5
106,4,3,35.4
106,4,4,33.0
106,4,5,34.75
106,4,6,33.5
106,4,7,35.25
106,4,8,37.67
106,4,9,28.25
106,4,10,27.17
106,4,11,28.0
106,4,12,32.77
106,4,13,32.07
106,4,14,33.53
106,4,15,33.45
106,4,16,30.21
106,4,17,27.71
106,4,18,28.5
106,4,19,28.95
106,4,20,30.11
106,4,21,30.83
106,4,22,31.27
106,4,23,31.08
106,5,0,30.13
106,5,1,27.33
106,5,2,22.0
106,5,3,21.0
106,5,4,26.0
106,5,5,30.67
106,5,6,31.0
106,5,7,27.0
106,5,8,27.0
106,5,9,30.5
106,5,10,25.0
106,5,11,26.46
106,5,12,26.71
106,5,13,27.54
106,5,14,27.96
106,5,15,28.67
106,5,16,29.21
106,5,17,29.83
106,5,18,28.74
106,5,19,30.53
106,5,20,34.67
106,5,21,32.5
106,5,22,17.0
106,5,23,35.5
106,6,0,30.0
106,6,2,33.0
106,6,3,27.0
106,6,5,30.75
106,6,6,22.33
106,6,7,39.0
106,6,8,37.0
106,6,9,38.78
106,6,10,30.83
106,6,11,25.42
106,6,12,26.42
106,6,13,30.96
106,6,14,33.07
106,6,15,33.93
106,6,16,34.03
106,6,17,33.08
106,6,18,34.71
106,6,19,35.11
106,6,20,38.64
106,6,21,39.0
106,6,22,38.93
106,6,23,38.29
107,0,0,32.08
107,0,1,36.08
107,0,2,36.17
107,0,3,33.0
107,0,4,38.0
107,0,5,30.41
107,0,6,31.69
107,0,7,30.95
107,0,8,31.71
107,0,9,31.2
107,0,10,28.3
107,0,11,27.52
107,0,12,26.55
107,0,13,26.37
107,0,14,26.35
107,0,15,26.93
107,0,16,31.56
107,0,17,29.0
107,0,18,28.38
107,0,19,27.53
107,0,20,27.0
107,0,21,27.71
107,0,22,28.78
107,0,23,28.94
107,1,0,29.38
107,1,1,29.52
107,1,2,29.5
107,1,3,29.67
107,1,4,30.0
107,1,5,29.0
107,1,6,28.0
107,1,7,32.0
107,1,8,34.32
107,1,9,36.61
107,1,10,36.15
107,1,11,27.03
107,1,12,28.58
107,1,13,29.16
107,1,14,30.67
107,1,15,30.75
107,1,16,30.2
107,1,17,26.67
107,1,18,28.0
107,1,19,28.78
107,1,20,27.17
107,1,21,24.94
107,1,22,25.1
107,1,23,23.71
107,2,0,26.63
107,2,1,26.67
107,2,2,26.67
107,2,3,26.91
107,2,4,29.0
107,2,5,28.18
107,2,6,23.62
107,2,7,25.07
107,2,8,27.22
107,2,9,30.59
107,2,10,32.96
107,2,11,33.33
107,2,12,35.12
107,2,13,33.58
107,2,14,30.06
107,2,15,28.46
107,2,16,28.6
107,2,17,30.67
107,2,18,29.85
107,2,19,30.69
107,2,20,30.15
107,2,21,26.0
107,2,22,32.33
107,2,23,35.2
107,3,0,36.18
107,3,1,39.0
107,3,2,39.0
107,3,3,37.67
107,3,4,37.0
107,3,5,35.22
107,3,6,34.44
107,3,7,35.0
107,3,8,30.59
107,3,9,32.46
107,3,10,32.62
107,3,11,32.38
107,3,12,32.54
107,3,13,30.95
107,3,14,27.32
107,3,15,28.12
107,3,16,21.47
107,3,17,22.1
107,3,18,32.25
107,3,19,26.29
107,3,20,30.0
107,3,21,24.5
107,3,22,24.0
107,3,23,28.75
107,4,0,32.0
107,4,1,33.71
107,4,2,31.1
107,4,3,29.0
107,4,4,23.0
107,4,5,26.18
107,4,6,24.44
107,4,7,27.67
107,4,8,30.38
107,4,9,34.76
107,4,10,36.42
107,4,11,36.0
107,4,12,29.83
107,4,13,28.92
107,4,14,29.54
107,4,15,26.12
107,4,16,25.05
107,4,17,22.83
107,4,18,27.47
107,4,19,31.25
107,4,20,26.25
107,4,21,25.0
107,4,22,28.0
107,4,23,23.0
107,5,0,30.0
107,5,1,33.67
107,5,2,39.0
107,5,3,39.0
107,5,5,30.5
107,5,6,31.0
107,5,7,32.64
107,5,8,36.83
107,5,9,30.0
107,5,10,30.12
107,5,11,27.96
107,5,12,28.04
107,5,13,29.46
107,5,14,30.62
107,5,15,31.91
107,5,16,32.89
107,5,17,33.55
107,5,18,33.77
107,5,19,29.5
107,5,20,30.0
107,5,21,38.33
107,5,22,33.5
107,6,0,38.5
107,6,1,37.0
107,6,2,38.57
107,6,3,37.5
107,6,5,37.0
107,6,6,34.0
107,6,7,37.71
107,6,8,37.18
107,6,9,30.87
107,6,10,31.0
107,6,11,30.67
107,6,12,32.64
107,6,13,34.59
107,6,14,35.73
107,6,15,33.83
107,6,16,31.42
107,6,17,31.56
107,6,18,31.5
107,6,19,34.43
107,6,20,39.0
107,6,21,36.2
107,6,22,36.75
107,6,23,36.0
108,0,0,31.29
108,0,1,32.42
108,0,2,31.31
108,0,3,29.9
108,0,4,28.0
108,0,5,28.44
108,0,6,29.86
108,0,7,31.79
108,0,8,31.71
108,0,9,26.79
108,0,10,26.12
108,0,11,22.54
108,0,12,24.28
108,0,13,26.29
108,0,14,26.6
108,0,15,26.89
108,0,16,28.88
108,0,17,26.38
108,0,18,24.5
108,0,19,24.17
108,0,20,21.43
108,0,21,21.0
108,0,22,19.75
108,0,23,19.78
108,1,0,22.65
108,1,1,23.0
108,1,2,22.68
108,1,3,24.43
108,1,4,25.5
108,1,5,25.35
108,1,6,27.47
108,1,7,26.0
108,1,8,26.96
108,1,9,28.68
108,1,10,28.48
108,1,11,28.55
108,1,12,24.06
108,1,13,26.54
108,1,14,26.36
108,1,15,26.92
108,1,16,25.64
108,1,17,24.33
108,1,18,26.1
108,1,19,27.05
108,1,20,24.67
108,1,21,21.88
108,1,22,23.92
108,1,23,23.47
108,2,0,24.32
108,2,1,26.23
108,2,2,27.0
